time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),snowfall (cm),cloud_cover (%)
2019-09-26T08:00,12.924999999999999,91.58333333333333,0.0,0.0,1.25
2019-09-26T09:00,14.674999999999999,85.5,0.0,0.0,0.0
2019-09-26T10:00,16.508333333333333,77.58333333333333,0.0,0.0,0.0
2019-09-26T11:00,18.066666666666666,69.58333333333333,0.0,0.0,5.0
2019-09-26T12:00,19.525000000000002,59.583333333333336,0.0,0.0,43.166666666666664
2019-09-26T13:00,19.150000000000002,69.58333333333333,0.0,0.0,90.5
2019-09-26T14:00,19.366666666666667,65.08333333333333,0.09999999999999999,0.0,70.16666666666667
2019-09-26T15:00,19.724999999999998,62.0,0.0,0.0,54.333333333333336
2019-09-26T16:00,19.658333333333335,61.5,0.0,0.0,92.5
2019-09-26T17:00,18.675,68.66666666666667,0.0,0.0,98.41666666666667
2019-09-26T18:00,16.591666666666665,77.83333333333333,0.0,0.0,97.25
2019-09-26T19:00,16.208333333333332,79.08333333333333,0.0,0.0,92.33333333333333
2019-09-26T20:00,15.683333333333332,80.08333333333333,0.0,0.0,98.0
2019-09-26T21:00,15.416666666666666,80.08333333333333,0.0,0.0,96.5
2019-09-26T22:00,15.141666666666666,80.08333333333333,0.0,0.0,89.41666666666667
2019-09-26T23:00,15.116666666666667,79.58333333333333,0.0,0.0,89.91666666666667
2019-09-27T00:00,14.85,82.08333333333333,0.0,0.0,97.66666666666667
2019-09-27T01:00,14.575000000000001,90.25,0.0,0.0,99.41666666666667
2019-09-27T02:00,15.266666666666666,88.58333333333333,0.13333333333333333,0.0,100.0
2019-09-27T03:00,15.366666666666667,89.0,0.041666666666666664,0.0,99.75
2019-09-27T04:00,15.091666666666667,91.08333333333333,0.025000000000000005,0.0,99.75
2019-09-27T05:00,15.158333333333333,91.5,0.3833333333333333,0.0,100.0
2019-09-27T06:00,15.225,93.25,0.7666666666666666,0.0,100.0
2019-09-27T07:00,15.391666666666666,94.5,0.325,0.0,99.58333333333333
2019-09-27T08:00,16.0,94.16666666666667,0.2333333333333333,0.0,100.0
2019-09-27T09:00,16.408333333333335,93.33333333333333,0.6416666666666666,0.0,100.0
2019-09-27T10:00,16.891666666666666,92.33333333333333,0.44166666666666665,0.0,100.0
2019-09-27T11:00,17.091666666666665,91.16666666666667,0.375,0.0,100.0
2019-09-27T12:00,17.125,91.66666666666667,0.8583333333333334,0.0,100.0
2019-09-27T13:00,16.599999999999998,92.41666666666667,1.3499999999999999,0.0,100.0
2019-09-27T14:00,16.683333333333334,93.58333333333333,1.2333333333333334,0.0,99.83333333333333
2019-09-27T15:00,16.966666666666665,93.16666666666667,0.5083333333333333,0.0,98.83333333333333
2019-09-27T16:00,16.008333333333333,92.58333333333333,1.2750000000000001,0.0,100.0
2019-09-27T17:00,15.033333333333333,90.0,1.2333333333333334,0.0,92.83333333333333
2019-09-27T18:00,14.466666666666667,90.25,0.016666666666666666,0.0,52.0
2019-09-27T19:00,13.483333333333334,93.91666666666667,0.0,0.0,65.16666666666667
2019-09-27T20:00,13.549999999999999,94.08333333333333,0.0,0.0,19.166666666666668
2019-09-27T21:00,12.566666666666668,95.91666666666667,0.0,0.0,4.583333333333333
2019-09-27T22:00,12.700000000000001,96.41666666666667,0.0,0.0,6.083333333333333
2019-09-27T23:00,13.066666666666668,95.5,0.0,0.0,12.166666666666666
2019-09-28T00:00,12.825000000000001,93.66666666666667,0.0,0.0,15.166666666666666
2019-09-28T01:00,13.1,93.25,0.0,0.0,8.833333333333334
2019-09-28T02:00,12.6,93.33333333333333,0.0,0.0,28.416666666666668
2019-09-28T03:00,12.483333333333334,93.33333333333333,0.0,0.0,29.416666666666668
2019-09-28T04:00,12.341666666666667,93.16666666666667,0.0,0.0,85.33333333333333
2019-09-28T05:00,12.475,92.16666666666667,0.0,0.0,73.33333333333333
2019-09-28T06:00,12.0,93.83333333333333,0.0,0.0,66.08333333333333
2019-09-28T07:00,12.375,92.0,0.0,0.0,75.08333333333333
2019-09-28T08:00,13.65,89.16666666666667,0.125,0.0,90.91666666666667
2019-09-28T09:00,13.633333333333333,91.75,0.7166666666666667,0.0,75.91666666666667
2019-09-28T10:00,15.058333333333332,86.41666666666667,0.13333333333333333,0.0,36.583333333333336
2019-09-28T11:00,17.150000000000002,75.83333333333333,0.0,0.0,21.333333333333332
2019-09-28T12:00,18.400000000000002,69.75,0.10000000000000002,0.0,35.416666666666664
2019-09-28T13:00,17.266666666666666,72.75,0.15,0.0,83.58333333333333
2019-09-28T14:00,18.275000000000002,68.41666666666667,0.09999999999999999,0.0,59.833333333333336
2019-09-28T15:00,16.666666666666668,79.41666666666667,2.2916666666666665,0.0,47.083333333333336
2019-09-28T16:00,16.275000000000002,81.33333333333333,0.5666666666666667,0.0,49.0
2019-09-28T17:00,15.791666666666666,81.41666666666667,0.20833333333333334,0.0,52.5
2019-09-28T18:00,15.041666666666666,81.0,0.008333333333333333,0.0,55.416666666666664
2019-09-28T19:00,14.708333333333334,79.58333333333333,0.0,0.0,69.41666666666667
2019-09-28T20:00,14.35,79.66666666666667,0.0,0.0,83.91666666666667
2019-09-28T21:00,14.183333333333332,77.08333333333333,0.0,0.0,80.25
2019-09-28T22:00,14.283333333333333,76.41666666666667,0.041666666666666664,0.0,34.833333333333336
2019-09-28T23:00,13.891666666666666,79.25,0.0,0.0,51.25
2019-09-29T00:00,13.816666666666668,79.75,0.0,0.0,55.833333333333336
2019-09-29T01:00,14.016666666666666,77.41666666666667,0.0,0.0,82.83333333333333
2019-09-29T02:00,14.049999999999999,76.91666666666667,0.0,0.0,100.0
2019-09-29T03:00,14.083333333333334,76.33333333333333,0.0,0.0,81.0
